date,open,high,low,close,volume
2019-01-02,38.7,39.7125,38.5575,39.48,148158948
2019-01-03,36.0025,36.43,35.5,35.5475,365248780
2019-01-04,36.125,37.137475,35.95,37.065,234428280
2019-01-07,37.175,37.2075,36.475,36.9825,219111056
2019-01-08,37.435,37.955,37.13,37.6875,164101256
2019-01-09,37.85,38.6325,37.4075,38.3275,180396324
2019-01-10,38.08,38.4925,37.715,38.45,143122680
2019-01-11,38.2275,38.425,37.8775,38.0725,108092964
2019-01-14,37.7125,37.8175,37.305,37.5,129756744
2019-01-15,37.57,38.3475,37.5125,38.2675,114841296
2019-01-16,38.2625,38.97,38.25,38.735,122278824
2019-01-17,38.555,39.415,38.315,38.965,119284640
2019-01-18,39.4,39.47,38.99515,39.205,135004092
2019-01-22,39.1475,39.1825,38.155,38.325,121575880
2019-01-23,38.5075,38.785,37.925,38.48,92522280
2019-01-24,38.45,38.62,37.935,38.175,101766196
2019-01-25,38.87,39.5325,38.58,39.44,134191572
2019-01-28,38.96,39.0825,38.415,39.075,104768232
2019-01-29,39.0525,39.5325,38.5275,38.67,166348956
2019-01-30,40.805,41.5375,40.0575,41.3125,244439120
2019-01-31,41.535,42.25,41.14,41.61,162958596
2019-02-01,41.7525,42.245,41.4825,41.63,130672552
2019-02-04,41.87,42.91375,41.82,42.8125,125982328
2019-02-05,43.2325,43.77,43.087525,43.545,144406512
2019-02-06,43.7,43.8925,43.213275,43.56,112958364
2019-02-07,43.08,43.485,42.585,42.735,126966760
2019-02-08,42.2475,42.665,42.105,42.6025,95279864
2019-02-11,42.775,42.8025,42.3125,42.3575,83973700
2019-02-12,42.525,42.75,42.425,42.7225,89134092
2019-02-13,42.83,43.12,42.48,42.545,89960932
2019-02-14,42.4625,42.815375,42.345,42.7,87342988
2019-02-15,42.8675,42.925,42.4375,42.605,98507256
2019-02-19,42.3875,42.86,42.3725,42.7325,75891304
2019-02-20,42.775,43.33,42.7475,43.0075,104457448
2019-02-21,42.95,43.0925,42.575,42.765,68998680
2019-02-22,42.895,43.25,42.845,43.2425,75652616
2019-02-25,43.54,43.9675,43.4875,43.5575,87493432
2019-02-26,43.4275,43.825,43.2933,43.5825,68280844
2019-02-27,43.3025,43.75,43.1825,43.7175,111341556
2019-02-28,43.58,43.7275,43.23,43.2875,112861664
2019-03-01,43.57,43.7875,43.2225,43.7425,103511240
2019-03-04,43.9225,44.4375,43.4925,43.9625,109744812
2019-03-05,43.985,44.0,43.635,43.88,78949676
2019-03-06,43.6675,43.8725,43.485,43.63,83241536
2019-03-07,43.4675,43.61,43.005,43.125,99185496
2019-03-08,42.58,43.2675,42.375,43.2275,95997432
2019-03-11,43.8725,44.78,43.8375,44.725,128044136
2019-03-12,45.0,45.6675,44.8425,45.235,129870336
2019-03-13,45.5625,45.825,45.23,45.4275,124130096
2019-03-14,45.975,46.025,45.64,45.9325,94318032
2019-03-15,46.2125,46.8325,45.935,46.53,156171648
2019-03-18,46.45,47.0975,46.4475,47.005,104879328
2019-03-19,47.0875,47.2475,46.48,46.6325,126585476
2019-03-20,46.5575,47.3725,46.1825,47.04,124140924
2019-03-21,47.505,49.0825,47.4525,48.7725,204136948
2019-03-22,48.835,49.4225,47.695,47.7625,169630664
2019-03-25,47.8775,47.995,46.65,47.185,175381172
2019-03-26,47.916,48.22,46.145,46.697498,199202152
2019-03-27,47.1875,47.44,46.6375,47.1175,119393708
2019-03-28,47.2375,47.38975,46.8825,47.18,83121452
2019-03-29,47.4575,47.52,47.135,47.4875,94255844
2019-04-01,47.91,47.92,47.095,47.815,111447856
2019-04-02,47.7725,48.615,47.7625,48.505,91062928
2019-04-03,48.3125,49.125,48.2875,48.8375,93087320
2019-04-04,48.6975,49.0925,48.285,48.93,76457100
2019-04-05,49.1125,49.275,48.9825,49.26,74106576
2019-04-08,49.105,50.0575,49.085,50.025,103526788
2019-04-09,50.08,50.7125,49.8075,49.875,143072948
2019-04-10,49.67,50.185,49.545,50.155,86781152
2019-04-11,50.2125,50.25,49.610775,49.7375,83603232
2019-04-12,49.8,50.035,49.0525,49.7175,111042672
2019-04-15,49.645,49.9625,49.5025,49.8075,70146584
2019-04-16,49.865,50.3425,49.64,49.8125,102785540
2019-04-17,49.885,50.845,49.6525,50.7825,115627120
2019-04-18,50.78,51.0375,50.63,50.965,96783064
2019-04-22,50.7075,51.235,50.585,51.1325,77758180
2019-04-23,51.1075,51.9375,50.975,51.87,93291964
2019-04-24,51.84,52.12,51.7625,51.79,70162436
2019-04-25,51.7075,51.94,51.28,51.32,74172824
2019-04-26,51.225,51.25,50.53,51.075,74596408
2019-04-29,51.1,51.4925,50.965,51.1525,88818864
2019-04-30,50.765,50.85,49.7775,50.1675,186139692
2019-05-01,52.47,53.8275,52.3075,52.63,259309312
